Ground Truth,1st Derivative Approx,2nd Derivative Approx
190.0149778,5055.331629,6351.086076
190.0149759,5713.128354,7402.531384
190.0149759,5160.465442,6278.17606
190.0149759,11118.87567,9180.950911
190.0149817,7581.710923,13324.28133
190.0149936,3852.810242,14572.55434
190.0150801,6051.970223,15329.46122
190.0156044,7161.814518,15484.1616
190.0187299,4743.748892,16962.65054
190.0263929,12065.60774,17417.66987
190.0385179,10903.17817,15573.73548
190.0585215,12077.96578,16676.66831
190.5192362,19393.84181,16660.16899
191.394018,19531.82303,21150.94155
193.7034711,19533.08679,21150.94251
195.1736998,19520.01321,21150.9429
197.2837751,19523.37889,21150.94324
204.7084686,19528.74422,21150.19544
197.9705426,19534.66696,21150.19103
211.5546063,19534.88839,21148.64192
221.4065582,19534.74114,21162.14698
208.5065797,19534.08159,21195.28977
210.8430419,19535.49878,21219.4159
230.152595,19535.49816,21361.83348
241.7734609,19535.49966,21465.61684
261.7399081,19535.5,22086.34019
316.893934,19535.5,21548.21949
281.1857155,19535.5,21407.91608
319.5283595,19535.5,21645.76315
319.2480664,19535.49992,19901.21618
353.2300393,19535.5,17624.07678
415.7925962,19535.5,17237.62513
507.28323,19535.5,29018.40019
502.3759637,19535.5,29015.22615
498.4551293,19535.5,29018.01637
606.340212,19535.5,29031.76377
549.4929204,19535.5,28977.06019
518.6066535,19535.5,29340.65337
525.9235738,19535.5,28900.29578
726.1471751,19535.5,28318.90514
816.8914233,19535.5,27521.59936
575.5445986,19535.5,29594.83976
785.4937657,19535.5,29600.07252
863.5796764,19535.5,29578.23402
1125.179522,19535.5,29161.89062
1459.421269,19535.5,28717.54408
1670.189674,19535.5,27843.27971
2599.243433,19535.5,27593.62403
2300.485543,19535.5,27502.63989
2600.392548,19535.5,27903.5122
3262.657951,19535.5,27040.9378
3396.100207,19535.3933,23703.60695
4839.220138,19535.39733,20934.16091
4353.712749,19535.39406,15976.3049
4319.962918,19535.39315,15765.10496
3763.467508,19535.39306,15790.73418
4775.856022,19535.39306,16417.25822
4797.178893,19535.39307,21910.27532
6336.77347,19535.39311,21830.71019
4674.055095,19535.39495,21981.90409
5961.703014,19535.42855,24752.37642
5387.762357,19535.39842,22705.61458
4641.453059,19535.39356,27560.00834
4749.438087,19535.39387,27560.0081
6257.091917,19535.39307,27559.71732
4295.966976,19535.39307,27557.82435
5777.446466,19535.39307,27551.34401
5359.522142,19535.39307,27573.25531
5581.133593,19535.39307,26803.12283
6042.059886,19535.39307,26842.70917
4202.422924,19535.39307,27135.61829
4984.424393,19535.39307,26696.69477
5442.523438,19535.39307,20373.69972
3218.69223,19535.39307,19439.00992
4485.415597,19535.39307,19089.70805
5591.155266,19535.39307,19360.85763
6780.425676,19535.39307,19497.08383
7196.386363,19535.39307,20545.79396
7651.913343,19535.39307,13922.65775
8440.207398,19535.39307,30219.54178
9138.263354,19535.39307,30222.47469
10729.58599,19535.39307,30097.68147
11181.10429,19535.39305,29732.79867
10823.21008,19535.39306,29909.14919
11587.2529,19535.38492,28416.58841
9981.771893,19535.39307,28105.7569
12617.57107,19535.39307,25797.92319
13003.34083,19535.39307,16280.25866
14643.14941,19535.39307,14392.78974
18204.89551,19535.39307,14376.15801
15583.8241,19535.39307,16538.66238
12604.42782,19535.39307,20729.03658
12542.8227,19535.39307,19531.79198
12574.56472,19535.39307,19535.3928
13663.67589,19535.39307,19535.39307
19535.04968,19535.39307,19535.39307
16564.5139,19535.39307,19535.39307
18630.79706,19535.39307,19535.39307
19535.39094,19535.39307,19535.39307
19535.39307,19535.39307,19535.39307
